ID Year,Year,Children In Poverty,Children In Poverty CI Low,Children In Poverty CI High,Geography,ID Geography,Slug Geography
2023,"2023",0.33000001311302185,0.2513616979122162,0.4086382985115051,"St. Louis city, MO","05000US29510","st-louis-city-mo"
2022,"2022",0.289000004529953,0.20082978904247284,0.377170205116272,"St. Louis city, MO","05000US29510","st-louis-city-mo"
2021,"2021",0.2770000100135803,0.193595752120018,0.36040425300598145,"St. Louis city, MO","05000US29510","st-louis-city-mo"
2020,"2020",0.3840000033378601,0.3125106394290924,0.4554893672466278,"St. Louis city, MO","05000US29510","st-louis-city-mo"
2019,"2019",0.32600000500679016,0.2509361803531647,0.40106382966041565,"St. Louis city, MO","05000US29510","st-louis-city-mo"
2018,"2018",0.382999986410141,0.32223403453826904,0.4437659680843353,"St. Louis city, MO","05000US29510","st-louis-city-mo"
2017,"2017",0.3930000066757202,0.3370000123977661,0.4490000009536743,"St. Louis city, MO","05000US29510","st-louis-city-mo"
2016,"2016",0.42899999022483826,0.36800000071525574,0.49000000953674316,"St. Louis city, MO","05000US29510","st-louis-city-mo"
2015,"2015",0.4309999942779541,0.36500000953674316,0.4970000088214874,"St. Louis city, MO","05000US29510","st-louis-city-mo"
2014,"2014",0.41999998688697815,0.3580000102519989,0.4819999933242798,"St. Louis city, MO","05000US29510","st-louis-city-mo"
