ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2023,"2023",6214601,26414,"United States","01000US","united-states",0.04874852004620386
1,"$10,000-$14,999",2023,"2023",4531954,20357,"United States","01000US","united-states",0.035549514830875505
2,"$15,000-$19,999",2023,"2023",3984613,16995,"United States","01000US","united-states",0.03125606723695769
3,"$20,000-$24,999",2023,"2023",4386074,17832,"United States","01000US","united-states",0.034405204181754155
4,"$25,000-$29,999",2023,"2023",4377379,16375,"United States","01000US","united-states",0.034336998937072837
5,"$30,000-$34,999",2023,"2023",4349182,18674,"United States","01000US","united-states",0.03411581627068077
6,"$35,000-$39,999",2023,"2023",4453830,19351,"United States","01000US","united-states",0.03493669521782398
7,"$40,000-$44,999",2023,"2023",4455770,20690,"United States","01000US","united-states",0.034951912949242235
8,"$45,000-$49,999",2023,"2023",4398710,18047,"United States","01000US","united-states",0.034504323384950596
9,"$50,000-$59,999",2023,"2023",8419282,23409,"United States","01000US","united-states",0.06604245990235628
10,"$60,000-$74,999",2023,"2023",11657731,28742,"United States","01000US","united-states",0.09144547386819397
11,"$75,000-$99,999",2023,"2023",16202717,39481,"United States","01000US","united-states",0.1270972142020812
12,"$100,000-$124,999",2023,"2023",12824682,44195,"United States","01000US","united-states",0.10059926092812552
13,"$125,000-$149,999",2023,"2023",9373595,41366,"United States","01000US","united-states",0.07352827378016645
14,"$150,000-$199,999",2023,"2023",11843136,53030,"United States","01000US","united-states",0.0928998261844837
15,"$200,000+",2023,"2023",16009609,81051,"United States","01000US","united-states",0.12558243807903124
0,"< $10,000",2023,"2023",12172,1012.9999999999999,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.0842644513672551
1,"$10,000-$14,999",2023,"2023",10237,922.0000000000001,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.07086881273797162
2,"$15,000-$19,999",2023,"2023",7054,649,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04883350640359986
3,"$20,000-$24,999",2023,"2023",5615,665,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.03887158186223607
4,"$25,000-$29,999",2023,"2023",6629,876,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.045891311872620286
5,"$30,000-$34,999",2023,"2023",6455,877,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04468674281758394
6,"$35,000-$39,999",2023,"2023",6126,597,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.042409138110072686
7,"$40,000-$44,999",2023,"2023",5924,624,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04101073035652475
8,"$45,000-$49,999",2023,"2023",5999,738,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04152994115610938
9,"$50,000-$59,999",2023,"2023",10585,832,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.07327795084804431
10,"$60,000-$74,999",2023,"2023",14754,1062,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.10213914849428868
11,"$75,000-$99,999",2023,"2023",16260,1052,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.11256490134994808
12,"$100,000-$124,999",2023,"2023",10770,884.9999999999999,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.07455867082035306
13,"$125,000-$149,999",2023,"2023",8089,775,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05599861543786777
14,"$150,000-$199,999",2023,"2023",9041,653,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.06258913118726203
15,"$200,000+",2023,"2023",8740,600,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.060505365178262376
0,"< $10,000",2022,"2022",6192080,22306,"United States","01000US","united-states",0.04924653731606165
1,"$10,000-$14,999",2022,"2022",4743710,20611,"United States","01000US","united-states",0.03772743432442326
2,"$15,000-$19,999",2022,"2022",4235151,17229,"United States","01000US","united-states",0.03368278862040797
3,"$20,000-$24,999",2022,"2022",4587937,18658,"United States","01000US","united-states",0.03648854838345757
4,"$25,000-$29,999",2022,"2022",4701374,19434,"United States","01000US","united-states",0.037390729791566324
5,"$30,000-$34,999",2022,"2022",4608052,17944,"United States","01000US","united-states",0.03664852598357136
6,"$35,000-$39,999",2022,"2022",4479480,17112,"United States","01000US","united-states",0.03562597365934417
7,"$40,000-$44,999",2022,"2022",4465681,17575,"United States","01000US","united-states",0.03551622815081967
8,"$45,000-$49,999",2022,"2022",4518761,18906,"United States","01000US","united-states",0.03593838132079431
9,"$50,000-$59,999",2022,"2022",8700174,23712,"United States","01000US","united-states",0.06919378359892465
10,"$60,000-$74,999",2022,"2022",11528244,30460.000000000004,"United States","01000US","united-states",0.09168584681313287
11,"$75,000-$99,999",2022,"2022",16085302,41834,"United States","01000US","united-states",0.127928809896371
12,"$100,000-$124,999",2022,"2022",12442523,43284,"United States","01000US","united-states",0.09895724429036049
13,"$125,000-$149,999",2022,"2022",9024401,41755,"United States","01000US","united-states",0.07177240936835506
14,"$150,000-$199,999",2022,"2022",11075396,50946,"United States","01000US","united-states",0.08808427901515482
15,"$200,000+",2022,"2022",14348087,70248,"United States","01000US","united-states",0.1141124794672548
0,"< $10,000",2022,"2022",13314,1045,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.09306649703968292
1,"$10,000-$14,999",2022,"2022",9792,986,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.06844728398772534
2,"$15,000-$19,999",2022,"2022",7354,819,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05140536422035664
3,"$20,000-$24,999",2022,"2022",5875,677,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04106697236804396
4,"$25,000-$29,999",2022,"2022",6729,715,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04703653737269239
5,"$30,000-$34,999",2022,"2022",7238,669,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05059450995743015
6,"$35,000-$39,999",2022,"2022",6013,735,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04203160933600822
7,"$40,000-$44,999",2022,"2022",5748,614,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04017922675259858
8,"$45,000-$49,999",2022,"2022",6207,714,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.0433876931895232
9,"$50,000-$59,999",2022,"2022",11039,989.0000000000001,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.07716396731418505
10,"$60,000-$74,999",2022,"2022",14182,984.0000000000001,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.09913392376571904
11,"$75,000-$99,999",2022,"2022",15606,1059,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.10908785885543727
12,"$100,000-$124,999",2022,"2022",10830,965.0000000000001,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.07570303161632613
13,"$125,000-$149,999",2022,"2022",7202,707,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05034286553100469
14,"$150,000-$199,999",2022,"2022",8024,513,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05608874660105271
15,"$200,000+",2022,"2022",7906,620,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.0552639120922137
0,"< $10,000",2021,"2021",6835028,25393,"United States","01000US","united-states",0.05511630775439648
1,"$10,000-$14,999",2021,"2021",4848344,17701,"United States","01000US","united-states",0.03909608270853926
2,"$15,000-$19,999",2021,"2021",4672903,17092,"United States","01000US","united-states",0.037681361342549374
3,"$20,000-$24,999",2021,"2021",4947418,19661,"United States","01000US","united-states",0.03989499575973072
4,"$25,000-$29,999",2021,"2021",5044233,20052,"United States","01000US","united-states",0.04067569268375823
5,"$30,000-$34,999",2021,"2021",5096729,17836,"United States","01000US","united-states",0.041099009997436355
6,"$35,000-$39,999",2021,"2021",4799326,20297,"United States","01000US","united-states",0.038700811295824485
7,"$40,000-$44,999",2021,"2021",4968184,18951,"United States","01000US","united-states",0.04006244865777705
8,"$45,000-$49,999",2021,"2021",4395258,19365,"United States","01000US","united-states",0.035442487227261274
9,"$50,000-$59,999",2021,"2021",8982113,24548,"United States","01000US","united-states",0.07242997459451014
10,"$60,000-$74,999",2021,"2021",11863218,31009.000000000004,"United States","01000US","united-states",0.09566263287370526
11,"$75,000-$99,999",2021,"2021",15895589,44008,"United States","01000US","united-states",0.12817887143423545
12,"$100,000-$124,999",2021,"2021",11904114,48316,"United States","01000US","united-states",0.09599241009216344
13,"$125,000-$149,999",2021,"2021",8333858,41998,"United States","01000US","united-states",0.06720257507495787
14,"$150,000-$199,999",2021,"2021",9694986,42381,"United States","01000US","united-states",0.07817844082724539
15,"$200,000+",2021,"2021",11729691,59924.00000000001,"United States","01000US","united-states",0.09458589767590925
0,"< $10,000",2021,"2021",14521,1031,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.10286835599067731
1,"$10,000-$14,999",2021,"2021",9496,946.9999999999999,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.06727070508143183
2,"$15,000-$19,999",2021,"2021",7277,709,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05155106580429439
3,"$20,000-$24,999",2021,"2021",7310,740,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05178484142220585
4,"$25,000-$29,999",2021,"2021",7764,716,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05500102719589688
5,"$30,000-$34,999",2021,"2021",7289,562,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05163607511989855
6,"$35,000-$39,999",2021,"2021",5879,603,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04164748053640878
7,"$40,000-$44,999",2021,"2021",6581,725,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04662052549925263
8,"$45,000-$49,999",2021,"2021",5756,605,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04077613505146606
9,"$50,000-$59,999",2021,"2021",11243,753,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.079646644611472
10,"$60,000-$74,999",2021,"2021",13418,960.9999999999999,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.09505458306472751
11,"$75,000-$99,999",2021,"2021",14803,854,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.10486607490737526
12,"$100,000-$124,999",2021,"2021",9882,771,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.07000517140003258
13,"$125,000-$149,999",2021,"2021",7252,783,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.05137396306345237
14,"$150,000-$199,999",2021,"2021",6418,503,"St. Louis city, MO","05000US29510","st-louis-city-mo",0.04546581562896267
