ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2023,"2023",0,"Total",63571,10004,"Census Tract 1011, St. Louis city, MO","14000US29510101100"
2023,"2023",0,"Total",88212,7706,"Census Tract 1012, St. Louis city, MO","14000US29510101200"
2023,"2023",0,"Total",71053,15714.999999999998,"Census Tract 1013, St. Louis city, MO","14000US29510101300"
2023,"2023",0,"Total",54480,10679,"Census Tract 1014, St. Louis city, MO","14000US29510101400"
2023,"2023",0,"Total",38986,5672,"Census Tract 1015, St. Louis city, MO","14000US29510101500"
2023,"2023",0,"Total",48922,15339,"Census Tract 1018, St. Louis city, MO","14000US29510101800"
2023,"2023",0,"Total",62692,11839,"Census Tract 1021, St. Louis city, MO","14000US29510102100"
2023,"2023",0,"Total",91500,13615.999999999998,"Census Tract 1022, St. Louis city, MO","14000US29510102200"
2023,"2023",0,"Total",65579,16754,"Census Tract 1023, St. Louis city, MO","14000US29510102300"
2023,"2023",0,"Total",54495,7756,"Census Tract 1024, St. Louis city, MO","14000US29510102400"
2023,"2023",0,"Total",70583,14835,"Census Tract 1025, St. Louis city, MO","14000US29510102500"
2023,"2023",0,"Total",59674,13499,"Census Tract 1031, St. Louis city, MO","14000US29510103100"
2023,"2023",0,"Total",74375,28972,"Census Tract 1034, St. Louis city, MO","14000US29510103400"
2023,"2023",0,"Total",76429,27107,"Census Tract 1036, St. Louis city, MO","14000US29510103600"
2023,"2023",0,"Total",77983,8664,"Census Tract 1037, St. Louis city, MO","14000US29510103700"
2023,"2023",0,"Total",77956,8924,"Census Tract 1038, St. Louis city, MO","14000US29510103800"
2023,"2023",0,"Total",71038,8907,"Census Tract 1042, St. Louis city, MO","14000US29510104200"
2023,"2023",0,"Total",75382,14237,"Census Tract 1045, St. Louis city, MO","14000US29510104500"
2023,"2023",0,"Total",76952,11580,"Census Tract 1051.98, St. Louis city, MO","14000US29510105198"
2023,"2023",0,"Total",52708,20615,"Census Tract 1052, St. Louis city, MO","14000US29510105200"
2023,"2023",0,"Total",26412,15293,"Census Tract 1053, St. Louis city, MO","14000US29510105300"
2023,"2023",0,"Total",68277,16993,"Census Tract 1054, St. Louis city, MO","14000US29510105400"
2023,"2023",0,"Total",54766,11893,"Census Tract 1055, St. Louis city, MO","14000US29510105500"
2023,"2023",0,"Total",27796,7906,"Census Tract 1061, St. Louis city, MO","14000US29510106100"
2023,"2023",0,"Total",23421,8443,"Census Tract 1062, St. Louis city, MO","14000US29510106200"
2023,"2023",0,"Total",40000,10934,"Census Tract 1063, St. Louis city, MO","14000US29510106300"
2023,"2023",0,"Total",37203,31605,"Census Tract 1064, St. Louis city, MO","14000US29510106400"
2023,"2023",0,"Total",42258,13635.999999999998,"Census Tract 1065, St. Louis city, MO","14000US29510106500"
2023,"2023",0,"Total",25313,17727,"Census Tract 1066, St. Louis city, MO","14000US29510106600"
2023,"2023",0,"Total",41116,27186,"Census Tract 1067, St. Louis city, MO","14000US29510106700"
2023,"2023",0,"Total",21875,17817,"Census Tract 1072, St. Louis city, MO","14000US29510107200"
2023,"2023",0,"Total",40077,9453,"Census Tract 1073, St. Louis city, MO","14000US29510107300"
2023,"2023",0,"Total",46304,12949,"Census Tract 1074, St. Louis city, MO","14000US29510107400"
2023,"2023",0,"Total",30510,5114,"Census Tract 1075, St. Louis city, MO","14000US29510107500"
2023,"2023",0,"Total",41719,13618,"Census Tract 1076, St. Louis city, MO","14000US29510107600"
2023,"2023",0,"Total",35909,18000,"Census Tract 1081, St. Louis city, MO","14000US29510108100"
2023,"2023",0,"Total",44000,20104,"Census Tract 1082, St. Louis city, MO","14000US29510108200"
