ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
1,"< $10K",2022,"2022","true","true",15059885,90437.41750428962,719627,"United States","01000US","united-states",0.09899929291220062
2,"$10-20k",2022,"2022","true","true",15246005,90932.74087110991,674037,"United States","01000US","united-states",0.10022279152436259
3,"$20-30k",2022,"2022","true","true",18217376,98314.8850940853,772403,"United States","01000US","united-states",0.11975571810247514
4,"$30-40k",2022,"2022","true","true",17620909,96907.10991489798,754494,"United States","01000US","united-states",0.11583471795901709
5,"$40-50k",2022,"2022","true","true",15684163,92082.41274650917,695119,"United States","01000US","united-states",0.10310311446068142
6,"$50-60k",2022,"2022","true","true",13995376,87520.46259463763,631525,"United States","01000US","united-states",0.09200152112983484
7,"$60-70k",2022,"2022","true","true",10645563,77251.1630745861,490328,"United States","01000US","united-states",0.06998082718774315
8,"$70-80k",2022,"2022","true","true",8235939,68524.29834688094,381277,"United States","01000US","united-states",0.054140661596553806
9,"$80-90k",2022,"2022","true","true",6921729,63105.860919922714,326095,"United States","01000US","united-states",0.045501428246621636
10,"$90-100k",2022,"2022","true","true",5000174,53989.563403827735,233678,"United States","01000US","united-states",0.03286968595297838
11,"$100-110k",2022,"2022","true","true",4392947,50709.537253756425,208900,"United States","01000US","united-states",0.028877952706861505
12,"$110-120k",2022,"2022","true","true",4296455,50165.89764105723,201923,"United States","01000US","united-states",0.028243642433464063
13,"$120-130k",2022,"2022","true","true",2128565,35567.907160080256,103064,"United States","01000US","united-states",0.013992565674814803
14,"$130-140k",2022,"2022","true","true",2374898,37538.8029765718,113729,"United States","01000US","united-states",0.015611886992403954
15,"$140-150k",2022,"2022","true","true",1645159,31319.69350489551,79108,"United States","01000US","united-states",0.01081479557965702
16,"$150-160k",2022,"2022","true","true",1515754,30075.6198072101,74413,"United States","01000US","united-states",0.009964124840849697
17,"$160-170k",2022,"2022","true","true",1045320,25015.090758217106,51801,"United States","01000US","united-states",0.006871628891388052
18,"$170-180k",2022,"2022","true","true",1194681,26729.365077042192,57426,"United States","01000US","united-states",0.0078534845555355
19,"$180-190k",2022,"2022","true","true",726703,20879.17854509775,35923,"United States","01000US","united-states",0.004777133633966988
20,"$190-200k",2022,"2022","true","true",494253,17232.279867137804,23957,"United States","01000US","united-states",0.0032490751104496413
21,"$200k+",2022,"2022","true","true",5679283,57406.27163005353,287556,"United States","01000US","united-states",0.037333950508140104
1,"< $10K",2022,"2022","true","true",297016,12657.79631747395,14779,"Missouri","04000US29",,0.105074581245516
2,"$10-20k",2022,"2022","true","true",291352,12550.552120996173,13625,"Missouri","04000US29",,0.10307084263152011
3,"$20-30k",2022,"2022","true","true",356794,13708.314530789668,16167,"Missouri","04000US29",,0.12622208952013572
4,"$30-40k",2022,"2022","true","true",372521,13962.512779206092,17424,"Missouri","04000US29",,0.13178578958763457
5,"$40-50k",2022,"2022","true","true",325317,13172.813263625996,15370,"Missouri","04000US29",,0.11508655273469284
6,"$50-60k",2022,"2022","true","true",279723,12325.701174302021,13168,"Missouri","04000US29",,0.09895688141291874
7,"$60-70k",2022,"2022","true","true",208358,10785.822603931134,9651,"Missouri","04000US29",,0.07371027015094547
8,"$70-80k",2022,"2022","true","true",149443,9236.720193160068,7070,"Missouri","04000US29",,0.05286806315172801
9,"$80-90k",2022,"2022","true","true",121239,8363.282482269078,5804,"Missouri","04000US29",,0.042890407101385496
10,"$90-100k",2022,"2022","true","true",81508,6907.508314988434,3762,"Missouri","04000US29",,0.02883487410832924
11,"$100-110k",2022,"2022","true","true",64717,6173.829294079926,3085,"Missouri","04000US29",,0.022894765515884864
12,"$110-120k",2022,"2022","true","true",64773,6176.437226749129,3000,"Missouri","04000US29",,0.022914576490881997
13,"$120-130k",2022,"2022","true","true",30307,4251.140808729279,1471,"Missouri","04000US29",,0.01072162891496705
